2016-10-06 17:10:30.8114|WARN|thread: 1|StandardUserErrors|Showing user error Failed to create a new commit.
System.ArgumentNullException: Failed Null Check on 'commitModel'
参数名: commitModel
   在 GitHub.Helpers.Ensure.ArgumentNotNull(Object value, String name)
   在 GitHub.ViewModels.CommitViewModel..ctor(IRepositoryModel repository, ICommitModel commitModel, ICommittedFileForklift committedFileForklift, IAvatarProvider avatarProvider, IInlineTextProvider inlineTextProvider)
   在 GitHub.Helpers.CommitCreator.<>c__DisplayClass2.<CreateCommit>b__1(<>f__AnonymousType0`2 x)
   在 System.Reactive.Linq.ObservableImpl.Select`2._.OnNext(TSource value)
2016-10-06 16:56:09.3821|INFO|thread:31|GitEnvironment|PATH is C:\Users\Administrator\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\cmd;C:\Users\Administrator\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin;C:\Users\Administrator\AppData\Local\Apps\2.0\4CHC53R5.6QC\CEVOJM71.RDC\gith..tion_317444273a93ac29_0003.0000_a4e55445f6113de2;C:\Users\Administrator\AppData\Local\GitHub\lfs-amd64_0.5.4;C:\Windows\Microsoft.NET\Framework\v4.0.30319;C:\Windows\System32
2016-10-06 16:56:09.3821|INFO|thread:31|ProcessWrapper|Starting: Process - FileName: 'C:\Users\Administrator\AppData\Local\GitHub\PortableGit_c2ba306e536fdf878271f7fe636a147ff37326ad\bin\git.exe', Args: 'status --untracked-files=all --porcelain -z ', Working Directory: D:\我的文档\GitHub\githubnew\
2016-10-06 16:56:09.5181|INFO|thread:34|ConcurrentRepositoryConnection|Took 72ms to git status
2016-10-06 16:56:09.5181|INFO|thread:34|ConcurrentRepositoryConnection|Took 73ms to git status and parse output
2016-10-06 16:56:09.5181|INFO|thread:34|NewCommitViewModel|Took 150ms to load files for D:\我的文档\GitHub\githubnew
2016-10-06 16:56:09.5181|INFO|thread:34|AsyncReaderWriterLock|Released concurrent scheduler for operation: 492:GitClient.cs:288 after blocking 0.1502332s
2016-10-06 16:56:09.5231|INFO|thread: 1|NewCommitViewModel|Took 1ms to render file list for D:\我的文档\GitHub\githubnew
2016-10-06 16:56:09.5231|INFO|thread: 1|AsyncReaderWriterLock|Acquiring concurrent scheduler for operation: 494:RepositoryViewModel.cs:325
2016-10-06 16:56:09.5231|INFO|thread:50|AsyncReaderWriterLock|Acquired concurrent scheduler for operation: 494:RepositoryViewModel.cs:325 after waiting 3.5E-05s
2016-10-06 16:56:09.5421|INFO|thread:24|AsyncReaderWriterLock|Released concurrent scheduler for operation: 494:RepositoryViewModel.cs:325 after blocking 0.0184236s
